latitude,longitude,elevation_m,bearing_deg
13.082697,80.270678,10,352.8364585521246
13.083069,80.27063,10,351.4433614440823
13.083315,80.270592,10,352.64875691193345
13.083466,80.270572,10,351.5282109612506
13.083963,80.270496,10,350.5012923493883
13.084289,80.27044,8,293.3777194622595
13.084553,80.269813,9,294.8842793447124
13.084703,80.269481,9,285.5128231154757
13.084786,80.269174,9,282.2443362098252
13.08489,80.268682,11,276.7927925232166
13.084911,80.268501,11,271.48085847869925
13.084918,80.268223,10,271.1420795656289
13.084924,80.267914,10,279.96029968757796
13.08495,80.267762,10,285.5261303878966
13.085216,80.266779,8,278.83235271296246
13.085244,80.266594,11,278.1224114476166
13.085306,80.266148,11,277.80312110780955
13.085367,80.265691,9,276.66524998913906
13.085521,80.264338,12,274.9854496624924
13.085534,80.264185,12,271.9800915625605
13.085577,80.262908,12,192.6457389680435
13.084127,80.262574,8,192.6591367641549
13.083238,80.262369,12,192.50211028795238
13.083115,80.262341,12,192.66834350448246
13.082959,80.262305,12,192.962435152129
13.082612,80.262223,12,170.7789992121045
13.082546,80.262234,12,186.11273786668087
13.082355,80.262213,11,165.79521200876547
13.081266,80.262496,9,163.8333352069617
13.081098,80.262546,7,163.8325204072696
13.080295,80.262785,5,159.1759374195766
13.08019,80.262826,5,258.9354698882888
13.080146,80.262595,5,258.7529427439342
13.080023,80.26196,9,254.0831042696601
13.079978,80.261798,8,247.0445987049577
13.079827,80.261432,7,247.75708857107335
13.079633,80.260945,7,258.10549487494546
13.079506,80.260326,9,262.8804619830355
13.079319,80.258789,11,263.9769244272412
13.079134,80.256989,9,264.2365267623568
13.079099,80.256633,11,265.0416084283225
13.079069,80.256278,11,265.1503458475387
13.079049,80.256036,11,262.47855612644656
13.079,80.255655,12,262.52836265785334
13.078878,80.2547,12,262.2187271164368
13.078839,80.254407,12,263.1398258126361
13.078824,80.254279,12,265.7706817586443
13.078739,80.253099,14,275.7919446562933
13.078772,80.252765,14,272.399500905189
13.07878,80.252569,14,271.40025499028343
13.078784,80.252401,11,263.7506034343279
13.078776,80.252326,11,269.5627034616232
13.078774,80.252057,11,270.0000152744819
13.078774,80.251922,11,269.2226951440027
13.078771,80.251695,11,270.6584523069169
13.078774,80.251427,12,268.8564389118184
13.078767,80.251067,12,268.8880200719466
13.078758,80.250591,9,267.71249567014377
13.078738,80.250077,9,256.8396751149391
13.078523,80.249133,10,260.7580448705987
13.078426,80.248521,10,259.4664479069315
13.078355,80.248129,10,258.81800818776935
13.078174,80.247189,11,258.90853609176673
13.077984,80.246194,13,266.5441977670896
13.07794,80.245446,13,264.11267821258906
13.077872,80.244769,13,263.849157274635
13.077834,80.244407,13,263.6225550749762
13.077807,80.244159,14,262.67199064385613
13.077748,80.243688,14,262.6822859390729
13.077573,80.242289,13,259.80549906028074
13.077494,80.241838,12,257.26456467282827
13.077376,80.241302,11,257.23428549165527
13.077344,80.241157,11,253.53530277489153
13.077325,80.241091,11,253.67353038833318
13.07722,80.240723,14,250.9447751160896
13.077184,80.240616,14,256.00029229132923
13.077133,80.240406,14,256.50481481667833
13.077115,80.240329,14,256.07803535635855
13.076896,80.239422,12,255.7276337021246
13.076756,80.238857,14,257.65114988549124
13.076579,80.238027,20,254.01304463118683
13.076567,80.237984,20,258.51950399074525
13.076494,80.237615,20,259.8874442380037
13.076453,80.237379,17,259.01113002515206
13.076338,80.236771,17,258.43144764235257
13.076141,80.235783,14,257.60193097706195
13.075741,80.233915,19,255.76263683178254
13.075502,80.232948,18,252.3674919605558
13.075228,80.232063,13,248.2847846587735
13.075183,80.231947,13,250.4104663284171
13.07481,80.230871,14,244.39669446606712
13.074508,80.230224,13,248.603979673872
13.0742,80.229417,14,254.76416826885793
13.074109,80.229074,13,262.65542870917164
13.074024,80.228397,13,264.9653294566786
13.073952,80.227558,13,263.2702870527922
13.073812,80.22634,14,271.9864309893263
13.073827,80.225896,14,276.5248562025271
13.073952,80.224774,15,276.3330603089555
13.07396,80.2247,15,276.50089905328167
13.074067,80.223736,14,277.0840780652412
13.07409,80.223546,14,273.3258547258446
13.074156,80.22238,10,274.62239312454267
13.074199,80.221834,11,281.46177135669444
13.074357,80.221034,13,278.684753349076
13.0744,80.220745,13,280.3313914631484
13.074829,80.218329,15,279.02778124566686
13.074881,80.217993,15,279.4161221671769
13.074902,80.217863,15,278.343486727646
13.074915,80.217772,15,278.28514363987154
13.074935,80.217631,15,278.8299439903067
13.074958,80.217479,15,278.7328918325886
13.075018,80.217078,14,277.1379301162563
13.075119,80.21625,15,274.4772200454183
13.075137,80.216014,15,275.9119385563731
13.075207,80.21532,14,278.8767406492771
13.075282,80.214827,14,291.1359695106182
13.075613,80.213948,16,291.2762965403978
13.075679,80.213774,16,302.36495305127266
13.07585,80.213497,16,305.23775857364495
13.076653,80.21233,16,308.3677670957297
13.076808,80.212129,15,295.14131135636313
13.076888,80.211954,15,286.7852613002573
13.076945,80.21176,15,277.4481295660244
13.076979,80.211493,18,277.34402022964935
13.077008,80.211262,18,277.21755441756363
13.077083,80.210654,15,272.6584596878439
13.077128,80.209659,13,269.2384097714587
13.077119,80.208964,13,263.37521595766236
13.077063,80.208469,13,267.2911806046502
13.07702,80.207536,12,267.7388531388613
13.077009,80.20725,15,268.1567475834058
13.076999,80.206931,15,264.89866512046694
13.076977,80.206678,15,260.091627890975
13.07692,80.206343,15,260.01049735255106
13.076716,80.205154,13,260.0635278332353
13.076623,80.204609,14,260.29053116334717
13.076588,80.204399,14,256.7730121909464
13.076433,80.203722,14,259.02338624247534
13.076276,80.202891,14,266.09096148750996
13.076234,80.20226,16,273.11011334496095
13.076272,80.201542,14,279.1695132398288
13.076297,80.201383,14,280.9871054376785
13.076363,80.201034,14,275.60322622358336
13.076391,80.200741,12,267.4572931109415
13.076374,80.200348,12,260.33007044723513
13.076334,80.200107,12,256.20695503449895
13.07618,80.199463,13,255.79474729784238
13.075874,80.198222,12,253.43735154466387
13.075666,80.197504,13,254.27976797697903
13.075459,80.196749,12,255.05502598687076
13.07542,80.196599,13,255.0886305264944
13.075199,80.195747,14,244.77795156464225
13.075004,80.195322,14,236.7931349336385
13.074909,80.195173,12,239.1127859552892
13.074835,80.195046,12,228.590231262916
13.074451,80.194599,11,227.24108776030317
13.074324,80.194458,11,242.70265887434118
13.074138,80.194088,9,260.2450853730428
13.074068,80.19367,9,271.7886949641439
13.074084,80.193144,12,272.17756156018476
13.074108,80.192496,13,270.000097044562
13.074108,80.191638,15,269.4973264582115
13.074104,80.19117,15,248.388477294069
13.074011,80.190929,15,240.75251522000747
13.073933,80.190786,13,225.18707605229733
13.073393,80.190228,13,232.05990543306447
13.07309,80.189829,12,239.68317013217325
13.072824,80.189362,12,242.44729514376974
